id,order_id,sku
055a7f40-735b-4d26-ad4a-7eb1ea76f3e9,1798a372-4794-456f-bdc4-82918eb549f4,BEV-004
038b771c-34bd-4ec6-86ae-f6790782983d,a6fadac9-0ae8-44c5-a80a-07a5c2f1378f,BEV-004
9a43acd4-f85a-4747-8b79-89b06a9075a1,5de8b5b7-7f30-4f41-9f32-693f47e4b9ed,BEV-003
1f44eed8-1f70-4807-a198-19c3e35b415f,fcb3a0ae-2b15-4373-bd29-bb3729ef4b06,BEV-001
12029854-00eb-4f68-923d-32bc66aee33b,28320b94-d6bb-47df-956d-2ed2e5cd9bea,BEV-004
345835b2-e6cf-4572-a302-c0fcd10b70a6,28320b94-d6bb-47df-956d-2ed2e5cd9bea,BEV-005
3a8a693f-96c4-40e0-8ac9-45430cfbfe04,900567dc-e9be-4763-890f-b3c45c13a065,BEV-004
e37aae47-0f48-49a5-8eb5-1d3d26dce969,a1e81ec6-31ce-4d2f-b1f6-cc76cb3b0464,BEV-003
20c52032-0eeb-4b6f-84a5-d5b3105377ee,dcfd6560-2453-4e58-9bba-a3a79d2a82c1,BEV-002
a6532887-6419-4d1e-bf07-a0f55486f1ce,efae0c66-ee70-4173-b69b-56152e9a82d6,BEV-001
f689f3be-0b29-4e5d-bf84-e6f98f60ad38,ee2304f0-9937-4e6a-8eb8-a8f2e86d7d50,BEV-004
f2d4dd93-2357-4afe-9c3d-e94a885f733c,5cb2076a-3965-419a-aabf-ddc3f8a1a250,BEV-003
93440815-bf2b-4250-83dc-6f761ef46ac5,5cb2076a-3965-419a-aabf-ddc3f8a1a250,BEV-003
766419a0-7a4b-493f-8022-61d32be01275,3b012d99-97cc-4cb7-9d10-d5b1edc4073d,BEV-005
4ec04f44-14d9-4464-94fc-bf1ba187e541,ec29420f-e2b7-48f9-a90c-a263ca5204be,BEV-005
a34bb9db-ee89-497c-a05c-8707ad79a2ad,5fa228cc-6adb-4076-b556-f8bae375b065,BEV-001
4db52cc2-43c5-480d-b865-abbc1c61912a,440a13a6-6dfe-440d-bad5-782f00e4f725,BEV-002
059e3c43-e923-4c61-9d96-b031d7801290,f8733647-215b-4108-87f2-25687af38707,BEV-002
0c485c66-0202-489b-b792-72c143b33b38,eaa51a77-f240-4b59-8e29-cb7bb670fe74,BEV-004
d0443a2e-f2c0-40ae-90b1-6566f229fcc2,40ee8759-1d19-47bd-ac05-05a769e5f78e,BEV-004
f0e72ffc-21ec-40dd-b539-dd8c535147e3,d6aee213-4ffb-41ea-a36a-aeb5fe712a0a,BEV-002
80702fcd-88a0-4d50-8373-d54b65d5ad24,61f17df3-cd42-4533-9cff-ab2eb253132d,BEV-003
0032a822-be93-441e-b3c2-6a6d5939816e,61f17df3-cd42-4533-9cff-ab2eb253132d,JAF-003
e34c8434-ac73-4af6-8ae2-c14b89755f2a,cb4f8346-a689-4de8-aa53-841239d6dd2d,BEV-003
78760b42-8989-4720-a900-456c3c2ebc41,a83be96b-3014-4f1e-9437-975be14b6114,JAF-004
f7707bb4-2fe4-4a2b-8b8c-0de4bb270ae6,ce57ca1e-944b-4edc-940b-7c31d8f86d69,BEV-002
da8e09ed-bfec-49c0-9451-86d6ac4e07f6,ce57ca1e-944b-4edc-940b-7c31d8f86d69,JAF-003
0f2ec92e-2a6e-48de-a89f-37a169678e08,dc732b53-0ec7-4f47-9617-7496ec08be2d,BEV-001
89205b25-531b-4180-b1cb-9e91f5923234,4edc077e-5f6f-4a63-ad6d-54f1f47d92a0,BEV-001
eb59ff9a-c6c9-457b-a819-f02144fbe633,de59adee-b3a4-4f03-afda-7d15f678a95e,BEV-001
feae11d8-a311-42e1-94a0-a2eb99c24ff8,d318f35a-056a-4d91-a856-f1b992952521,BEV-003
c61594a7-8be4-4754-b35e-4fd0745127a3,f7be206c-7d1b-4c96-b0dc-191c9983eedb,BEV-003
42a82b32-a320-44cc-b95a-811c93d3ff0d,2855fd9d-ec7b-4fb7-9dae-932873700d43,BEV-005
02ff3cfd-8fba-45df-859b-a88f0d5d8591,688d5052-7309-4cdf-abd2-c9c4b22a2bf3,BEV-004
9f411590-10df-4f94-8ecc-f9106c5a1c26,d6db915d-02df-4e8d-a419-3635e687515f,BEV-002
e683d7e1-fe5e-431f-a044-6684147e5ec1,99956625-d01e-455c-806f-6465cd6333c4,BEV-005
aeddc122-6166-4e1a-b975-020cad0860b2,1e75751d-5d17-4f33-9591-7a672099923d,BEV-003
22941c9b-a587-4087-813b-fbd526114f91,b905afba-5b29-47d4-a476-d25c953143df,BEV-002
aa735aee-398a-4b8d-85dd-ac39193acbc9,cb2fa486-5d9d-4f3f-86bf-7e145de8eb83,BEV-002
